record_id,start,end
NT_165979.1,2990942,2992942
NT_165979.1,3152859,3155032
NT_165979.1,4045656,4052562
NT_165979.1,4616617,4619759
NT_165981.1,323524,324713
NT_165981.1,340813,345126
NT_165981.1,803366,803933
NT_165981.1,1178052,1180227
NT_165981.1,2164656,2166892
NT_165981.1,2294368,2302932
NT_165981.1,3019944,3021011
NT_165981.1,3071408,3073144
NT_165981.1,3507708,3509860
NT_165981.1,3680828,3682534
NT_165981.1,3821526,3821841
NW_025065215.1,280969,282616
NW_025065215.1,444741,446169
NW_025065215.1,488429,488696
NW_025065215.1,654467,655848
NW_025065215.1,672705,674052
NW_025065215.1,708281,710126
NW_025065215.1,825369,826554
NW_025065215.1,1072679,1073168
NW_025065215.1,1074803,1076291
NW_025065215.1,1146373,1146758
NW_025065215.1,1170218,1172627
NW_025091230.1,234553,236001
NW_025091230.1,564341,566698
NW_024065910.1,81042,84090
NW_024065910.1,809715,811158
NW_024065952.1,123888,125575
NW_024065954.1,152049,153264
NW_007361013.1,607404,607781
NW_007361030.1,506206,510048
NW_007361030.1,538797,540675
NW_007361030.1,570058,570932
NW_007361050.1,302484,302785
NW_007361056.1,191635,193825
NW_007361074.1,27355,29110
NW_025544662.1,156539,157978
NW_025544662.1,603612,604526
NW_025544662.1,642190,643159
NW_025544662.1,870562,871816
NW_025544662.1,1498892,1499961
NW_025544662.1,1556403,1557337
NW_025544662.1,1823828,1824752
NW_025544662.1,1842250,1843252
NW_025544662.1,2185523,2188307
NW_025544669.1,89277,91223
NW_025544669.1,242086,242975
NW_025544676.1,183211,184850
NW_025544676.1,286474,288088
NW_025544695.1,518965,519820
NW_025544695.1,567538,569725
NW_025544695.1,637777,638788
NW_025544700.1,347362,348471
NW_025544700.1,559658,561219
NW_025544701.1,338388,339273
NW_025544701.1,350188,351718
NW_025544748.1,24922,26531
NW_025544748.1,60311,62121
NW_025544748.1,438107,439120
NW_025544765.1,51499,53477
NW_025544765.1,58260,60046
NC_030961.1,277532,280467
NC_030961.1,685188,686414
NC_030961.1,859851,862068
NC_030961.1,1344153,1344508
NC_030961.1,1547917,1551366
NC_030961.1,1919591,1923162
NC_030961.1,3578176,3579711
NC_030961.1,3758426,3760167
NC_030961.1,3815698,3816877
NC_030961.1,4011413,4012262
NW_017263917.1,65448,67790
NW_017263917.1,481840,482725
NW_017263917.1,656556,657920
NW_017263917.1,1910993,1911461
NW_017263917.1,2108781,2110651
NW_017263917.1,2987625,2988684
NW_017263917.1,4122784,4123313
NW_017263917.1,4177325,4178375
NW_023500908.1,155460,155776
NW_023500908.1,159001,161209
NW_023500908.1,623469,625099
NW_023500908.1,2355329,2357527
NW_023500908.1,2388921,2391419
NW_023500908.1,2696851,2698020
NW_023500908.1,2832574,2835054
NW_023500908.1,3272908,3274060
NW_023500908.1,3858764,3859951
NW_023500908.1,3898663,3902672
NW_023500908.1,4310073,4313254
NW_023500908.1,4794695,4796012
NW_023500908.1,4834197,4835939
NW_023500908.1,5382792,5383943
NW_023500908.1,5467748,5468829
NW_023500908.1,5498881,5501169
NW_023500908.1,5631014,5634133
NW_023500908.1,6618886,6620244
NW_023500908.1,6834432,6835365
NW_023500908.1,6862362,6863837
NW_023336260.1,498933,500606
NW_023336260.1,728694,729935
NW_023336260.1,2014043,2014652
NW_023336260.1,2057582,2060034
NW_023336260.1,2158933,2162478
NW_023336260.1,2204051,2205371
NW_023336260.1,2554210,2555811
NW_023336260.1,2869797,2870281
NW_023336260.1,3022249,3025346
NW_023336260.1,3121947,3124972
NW_023336266.1,1628435,1630172
NW_023336266.1,1771925,1774661
NW_023336266.1,2083985,2086412
NW_023336266.1,2381088,2383088
NW_023336266.1,2622551,2625158
NW_023336266.1,2764881,2768713
NW_023336266.1,2868610,2869645
NW_023501018.1,1010093,1011134
NW_023501018.1,1949273,1950946
NW_023501018.1,2383314,2388796
NW_023501018.1,2465501,2467909
NW_023501018.1,2944277,2944983
NW_023501018.1,3481633,3482977
NW_023501018.1,3700595,3701413
NW_023501018.1,4709316,4714335
NW_023501018.1,5011861,5013860
NW_023501018.1,5109528,5110734
NW_023501022.1,128633,130530
NW_023501022.1,190776,191566
NW_023501022.1,687153,688814
NW_023501022.1,3142772,3143810
NW_023501022.1,3485525,3487010
NW_023501022.1,3570533,3571480
NW_023501022.1,4018617,4020979
NW_023501022.1,4264435,4279247
NW_023501023.1,398694,399719
NW_023501023.1,633420,633879
NW_023501023.1,881688,883069
NW_023501023.1,1560037,1562162
NW_023501023.1,2008625,2013521
NW_023501023.1,2103483,2105247
NW_023501023.1,2443361,2447950
NW_023501023.1,2771685,2772366
NW_023501023.1,2773152,2774031
NW_023501023.1,3177340,3178396
NW_025764279.1,457752,459041
NW_025764279.1,460962,462951
NW_025764279.1,553949,557824
NW_025764279.1,712898,714223
NW_025764279.1,746092,747025
NW_025764279.1,938418,938728
NW_025764279.1,1049837,1051070
NW_025764279.1,1161913,1163294
NW_025764279.1,2038713,2039741
NW_025764279.1,2106254,2106917
NW_025764279.1,2981033,2982049
NW_025764289.1,75249,78721
NW_025764289.1,630411,631788
NW_025764289.1,654437,655782
NW_025764289.1,1096554,1097013
NW_025764289.1,1257742,1260564
NW_025764289.1,1459222,1460213
NW_007360326.1,1102844,1105081
NW_007360326.1,1785024,1786282
NW_007360326.1,2081685,2082468
NW_007360326.1,2284163,2286697
NW_017264775.1,377340,377660
NW_017264775.1,543733,544664
NW_017264775.1,553000,554091
NW_025544832.1,20410,21475
NW_025544787.1,846475,846718
NW_004504311.1,250634,252169
NW_004504311.1,452345,453233
NW_004504311.1,456050,458528
NW_004504311.1,607252,609918
NW_004504311.1,823401,825773
NW_004504311.1,1103386,1104119
NW_004504311.1,1604303,1604498
NW_004504311.1,1919576,1921334
NW_004504311.1,1925581,1930255
NW_004504311.1,3047879,3049139
NW_004504311.1,3454347,3455448
NW_004504311.1,3625558,3628627
NW_004504311.1,3842830,3845420
NW_025953045.1,172541,173514
NW_025953045.1,455497,457246
NW_025953045.1,702516,705657
NW_025953051.1,293674,295343
NW_025953051.1,307206,309250
NW_025953063.1,54876,56598
NW_025953063.1,77479,78340
NW_025953063.1,192008,194326
NW_025952979.1,82532,85087
NW_025952979.1,103182,105269
NW_025952984.1,168531,168957
NW_025952984.1,252169,254572
NW_025954199.1,735250,736340
NW_025954200.1,21496,22191
NW_025954200.1,272580,276663
NW_025954220.1,309937,311224
NW_025954227.1,216577,216659
NW_025954227.1,241476,243573
NW_025954228.1,269745,272417
NW_025954256.1,1112,2397
NW_025954298.1,74654,78677
NW_025954333.1,27550,29122
NW_025954337.1,15844,17585
NW_025954966.1,432863,433880
NW_025954966.1,443136,444044
NW_025954968.1,293677,296183
NW_025954968.1,436545,438788
NW_025954968.1,563181,565364
NW_025954968.1,617552,619361
NW_025954990.1,197251,199792
NW_025954990.1,273535,274799
NW_025955013.1,4156,5517
NW_025955025.1,17657,18231
NW_025955036.1,128950,131820
NW_025955036.1,147114,149885
NW_025955037.1,150066,151646
NW_025955037.1,182398,183155
NW_025955150.1,44313,45179
NW_025955178.1,28345,28985
NW_025955178.1,54608,55007
NW_025955330.1,3456,4064
NW_025952923.1,13052,14648
NW_026251480.1,418694,419329
NW_026252295.1,322744,323982
NW_026252302.1,240871,242000
NW_026252329.1,248237,249702
NW_026250680.1,93930,95070
NW_026260089.1,374918,375648
NW_003298913.1,72619,76164
NW_024538568.1,25829,27039
NW_024538568.1,125614,127428
NW_024538568.1,262765,262845
NW_024538568.1,537278,540302
NW_024538568.1,554660,556975
NW_024538568.1,892500,892942
NW_024538568.1,969571,970789
NW_024538574.1,13908,15234
NW_024538574.1,453394,456787
NW_024538574.1,612417,614165
NW_024538586.1,198167,198350
NW_024538586.1,229098,230343
NW_024538586.1,360505,365441
NW_024538586.1,463082,464455
NW_024538587.1,189433,190080
NW_024538587.1,193865,194051
NW_024538587.1,222702,224142
NW_024538587.1,302425,304083
NW_024539092.1,9300,10283
NW_024540255.1,524270,525388
NW_024540255.1,526123,528104
NW_024540262.1,299695,302019
NW_024540262.1,473585,477954
NW_024540278.1,338052,338767
NW_024540280.1,103779,104260
NW_024540281.1,244237,245683
NW_024540300.1,72258,74019
NW_024540300.1,168231,169439
NW_024540301.1,41003,43033
NW_024540372.1,139237,140142
NW_024540415.1,28046,28531
NW_024540463.1,23029,25306
NW_024540478.1,48547,50527
NW_024540529.1,1743,5702
NW_024541142.1,76,448
NW_024537570.1,144793,144919
NW_024537570.1,796817,798071
NW_024539534.1,561,1624
NW_024539534.1,96028,98029
NW_024539534.1,621652,623583
NW_024539534.1,710374,712698
NW_024539562.1,263694,265335
NW_024537596.1,132817,133132
NW_024537596.1,356928,362663
NW_024539604.1,138719,139553
NW_024539612.1,64358,66080
NW_024539696.1,26173,27232
NW_024537620.1,32562,34170
NW_024537624.1,80120,82270
NW_024539777.1,19336,22164
NW_024537705.1,13239,14601
NW_024537776.1,24163,25567
NW_024537785.1,30505,31597
NW_024539240.1,417083,417554
NW_024539240.1,492774,498358
NW_024539249.1,461044,462829
NW_024539270.1,178087,179827
NW_024539293.1,11733,13147
NW_025064855.1,22549,23237
NW_025064855.1,228548,231086
NW_025064855.1,371014,372155
NW_025064855.1,561912,562371
NW_025064855.1,871373,876060
NW_025064855.1,1065335,1065650
NW_025064855.1,1383838,1384222
NW_025064855.1,1842323,1843508
NW_025064855.1,1973499,1977210
NW_025065050.1,93889,94750
NW_025065050.1,96071,100190
NW_025065050.1,173422,174607
NW_025065050.1,503551,505170
NW_025065062.1,188830,190498
NW_025091316.1,378598,380085
NW_025091320.1,561296,561749
NW_025091320.1,1269426,1270449
NW_025091320.1,1381484,1382465
NW_025091320.1,1778209,1780772
NW_025091320.1,1974625,1975435
NC_057326.1,136497,138779
NC_057326.1,630919,631454
NC_057326.1,735754,738039
NC_057326.1,909722,912714
NC_057326.1,1772369,1774869
NC_057326.1,1798487,1801755
NC_057326.1,2214049,2215116
NC_057326.1,2518797,2519619
NC_057326.1,2554633,2557262
NW_025064881.1,272220,272573
NW_025064881.1,474667,476627
NW_025064881.1,1318774,1320240
NW_025064881.1,1915773,1916809
NW_025064881.1,2087235,2088983
NW_025064904.1,526504,528639
NW_025064904.1,541808,543906
NW_025064904.1,618969,620179
NW_025064908.1,60709,60934
NW_025064908.1,65433,67062
NW_025064908.1,222358,222707
NW_025064945.1,30705,30930
NW_025408591.1,283382,284719
NW_025408591.1,767352,768960
NW_025408596.1,1272012,1273726
NW_025408596.1,1482048,1485816
NW_025408596.1,1867241,1867853
NW_025408596.1,2838710,2841530
NW_025408596.1,2865013,2867644
NW_025408599.1,361571,362582
NW_025408626.1,36515,36725
NW_025408626.1,94267,94633
NW_025408626.1,186369,188108
NW_025408626.1,374789,376639
NW_025408626.1,667601,669596
NW_025408626.1,924005,925211
NW_025408626.1,1115126,1115829
NW_025408626.1,1223163,1227903
NW_025408626.1,1232324,1234238
NW_025408626.1,1276142,1277795
NW_025408632.1,964854,967561
NW_025408632.1,1108751,1110712
NW_025408632.1,1327231,1329563
NW_026055495.1,314427,315270
NW_024467575.1,46699,48520
NW_024467575.1,790637,791018
NW_024467575.1,958036,959626
NW_024467575.1,2522410,2524732
NW_024467575.1,2864239,2866543
NW_024467575.1,3212646,3213901
NW_024467575.1,3262607,3266641
NW_024467575.1,3548306,3550061
NW_024467575.1,3550360,3551728
NW_024467575.1,3586175,3590007
NW_024467575.1,3862371,3864005
NW_024467585.1,257609,262143
NW_024467585.1,297733,299219
NW_024467600.1,260095,261475
NW_024467604.1,267526,268387
NW_024467609.1,92858,94081
NW_024467609.1,103066,105543
NW_024467303.1,541198,541988
NW_024467303.1,809062,809886
NW_024467303.1,862536,863181
NW_024467305.1,539370,540675
NW_024467132.1,602839,603412
NW_024467339.1,70331,71090
NW_024467339.1,152940,157878
NW_024467347.1,9130,11836
NW_024467419.1,198927,200568
NW_024467419.1,642116,643364
NW_024467419.1,969573,970440
NW_024467419.1,1483675,1484611
NW_024467419.1,1834391,1836944
NW_024467421.1,84591,85999
NW_024467477.1,145332,147024
NW_024467477.1,211857,213396
NW_024539372.1,96604,99831
NW_024539380.1,77746,78712
NW_024539401.1,6762,8532
NW_024545252.1,215402,216470
NW_024545252.1,425188,427225
NW_024545252.1,584228,584618
NW_024545252.1,635230,638647
NW_024545252.1,680085,680991
NW_024545252.1,728206,731983
NW_024545252.1,808567,810778
NW_024545252.1,1033817,1036222
NW_024545252.1,1696566,1699680
NW_024545252.1,1705127,1706631
NW_024545252.1,2425425,2427780
NW_024545252.1,2729139,2730272
NW_024545263.1,196012,197404
NW_024545263.1,333376,334268
NW_024545264.1,32527,33691
NW_024545264.1,586501,590683
NW_024545274.1,206961,209343
NW_024545274.1,411939,412875
NW_024545284.1,39259,40598
NC_054862.1,402005,403095
NC_054862.1,488036,488753
NC_054862.1,699072,699813
NC_054862.1,1258570,1261539
NC_054862.1,1988396,1991081
NC_054862.1,2425916,2426429
NC_054862.1,2988952,2989565
NC_054862.1,3247093,3248041
NC_054862.1,3284449,3286283
NC_054863.1,236884,239402
NC_054863.1,1703466,1704281
NC_054863.1,2200621,2201569
NC_054863.1,2329178,2331149
NC_054863.1,2695587,2696346
NC_054863.1,2856520,2856685
NW_024541258.1,459719,460746
NW_024541258.1,581574,583866
NW_024541275.1,276789,277718
NW_024541275.1,367679,368517
NW_024541286.1,37489,39361
NW_024541286.1,82463,84343
NW_024541286.1,373543,376739
NW_024541313.1,64415,66514
NW_024542082.1,40575,41232
NW_024542093.1,95812,97165
NW_024542096.1,189533,191052
NW_024542099.1,188306,191439
NW_024542107.1,65825,70597
NW_024542125.1,104585,109161
NW_024542127.1,5306,6539
NW_024542127.1,6853,9880
NW_024542137.1,42956,43707
NW_024542155.1,47494,47653
NW_024542168.1,65690,68975
NW_024542192.1,57307,59602
NC_054698.1,282215,284063
NC_054698.1,418490,420335
NC_054698.1,1159182,1160823
NC_054698.1,1220539,1225116
NC_054698.1,1418383,1420072
NC_054698.1,1652945,1655211
NC_054698.1,2676069,2676529
NC_054698.1,2779368,2780150
NC_054698.1,2947546,2948445
NT_165979.1,24624,27642
NT_165979.1,449488,451455
NT_165979.1,631844,632518
NT_165979.1,632959,634726
NT_165979.1,897937,899630
NT_165979.1,990598,991781
NT_165979.1,1376961,1379247
NT_165979.1,1525461,1527335
NT_165979.1,2361176,2365905
NT_165979.1,2977604,2978571
NT_165979.1,3012494,3013287
NT_165979.1,3207745,3208905
NT_165979.1,3387158,3387502
NT_165979.1,3952776,3953214
NT_165979.1,4025389,4026696
NT_165979.1,4334185,4335698
NT_165979.1,4578413,4579924
NT_165979.1,4688191,4689932
NT_165981.1,644692,649154
NT_165981.1,673677,675339
NT_165981.1,1271296,1274099
NT_165981.1,1586481,1587066
NT_165981.1,1923863,1926122
NT_165981.1,1942749,1943331
NT_165981.1,2346527,2347937
NT_165981.1,2368214,2369153
NT_165981.1,3743126,3746199
NW_025065215.1,141764,143266
NW_025065215.1,178569,179637
NW_025065215.1,338699,339776
NW_025065215.1,421396,425239
NW_025065215.1,525307,527983
NW_025065215.1,1219446,1221014
NW_025065215.1,1244506,1247623
NW_025065215.1,1279251,1280733
NW_025065232.1,3010,3346
NW_025091230.1,121878,123073
NW_024065910.1,586410,589557
NW_024065910.1,598733,599623
NW_024065910.1,889887,890778
NW_024065910.1,962501,970857
NW_024065950.1,243650,244572
NW_024065952.1,80265,83757
NW_024065952.1,339475,342436
NW_024065954.1,121075,121408
NW_007361013.1,601932,604479
NW_007361030.1,148506,149566
NW_007361030.1,288892,292975
NW_007361030.1,567195,568856
NW_007361037.1,258647,260285
NW_007361050.1,346419,355163
NW_007361056.1,105877,106780
NW_007361073.1,66264,67152
NW_007361232.1,6567,7408
NW_025544662.1,720491,721596
NW_025544662.1,972210,973495
NW_025544662.1,988561,989203
NW_025544662.1,1340346,1341453
NW_025544662.1,1674043,1675801
NW_025544662.1,1952668,1954618
NW_025544662.1,2751128,2754103
NW_025544669.1,146352,147974
NW_025544669.1,191124,193391
NW_025544669.1,371724,372324
NW_025544669.1,377898,378330
NW_025544669.1,479002,482495
NW_025544695.1,41544,42612
NW_025544695.1,470445,471693
NW_025544695.1,824128,825814
NW_025544695.1,1340127,1341654
NW_025544700.1,314807,316041
NW_025544701.1,40943,41747
NW_025544701.1,228958,231224
NW_025544701.1,279830,280305
NW_025544715.1,77291,80300
NW_025544715.1,93406,94992
NW_025544748.1,109949,111188
NW_025544748.1,177681,178187
NW_025544748.1,329945,332310
NW_025544748.1,555125,556799
NC_030961.1,49414,50609
NC_030961.1,165329,166389
NC_030961.1,337649,337922
NC_030961.1,342416,343835
NC_030961.1,574853,575498
NC_030961.1,949588,953404
NC_030961.1,1111072,1111439
NC_030961.1,1145490,1146956
NC_030961.1,1244463,1245094
NC_030961.1,1525243,1526113
NC_030961.1,1854733,1855192
NC_030961.1,2862200,2863354
NC_030961.1,3050062,3050408
NC_030961.1,3474801,3476725
NW_017263917.1,237957,239681
NW_017263917.1,556557,557403
NW_017263917.1,824855,826247
NW_017263917.1,1015931,1017884
NW_017263917.1,1283855,1284948
NW_017263917.1,2711662,2714036
NW_017263917.1,3242643,3243110
NW_017263917.1,3874248,3874983
NW_023500908.1,49512,50354
NW_023500908.1,867399,868379
NW_023500908.1,1515170,1516772
NW_023500908.1,1736448,1738215
NW_023500908.1,1873007,1875374
NW_023500908.1,2440173,2441744
NW_023500908.1,2613816,2614666
NW_023500908.1,2655637,2656671
NW_023500908.1,3068701,3069874
NW_023500908.1,4773307,4774729
NW_023500908.1,5850297,5852215
NW_023500908.1,6254544,6257532
NW_023500908.1,6517745,6519225
NW_023500908.1,6540473,6540948
NW_023500908.1,6835401,6838968
NW_023336260.1,253861,256297
NW_023336260.1,542432,544929
NW_023336260.1,708342,710313
NW_023336260.1,1016755,1018368
NW_023336260.1,1166734,1168643
NW_023336260.1,1410751,1413312
NW_023336260.1,2307434,2309175
NW_023336260.1,3154819,3157961
NW_023336260.1,3370144,3372726
NW_023336266.1,614323,615742
NW_023336266.1,996569,997120
NW_023336266.1,1166878,1167826
NW_023336266.1,1177640,1178714
NW_023336266.1,1228688,1230710
NW_023336266.1,1256092,1258456
NW_023336266.1,2027654,2028531
NW_023501018.1,546688,547410
NW_023501018.1,1794551,1796401
NW_023501018.1,1910048,1910396
NW_023501018.1,2190151,2192744
NW_023501018.1,2274816,2275865
NW_023501018.1,2665470,2667141
NW_023501018.1,2669865,2670318
NW_023501018.1,2850899,2852354
NW_023501018.1,3422583,3424995
NW_023501018.1,3603280,3604105
NW_023501018.1,4879961,4881011
NW_023501018.1,4950312,4950723
NW_023501018.1,5149758,5151141
NW_023501022.1,255309,257287
NW_023501022.1,1390161,1391833
NW_023501022.1,1720736,1722401
NW_023501022.1,1926492,1929060
NW_023501022.1,2780399,2781497
NW_023501022.1,3400624,3401137
NW_023501022.1,4395100,4395870
NW_023501023.1,209662,211660
NW_023501023.1,741383,741768
NW_023501023.1,827251,827725
NW_023501023.1,1816464,1818255
NW_023501023.1,2343933,2345070
NW_023501023.1,2900381,2900915
NW_023501023.1,3455118,3456543
NW_023501023.1,3553093,3554309
NW_025764279.1,1154135,1155327
NW_025764279.1,2124053,2125327
NW_025764279.1,2167052,2171431
NW_025764279.1,2255565,2256722
NW_025764279.1,2509673,2510783
NW_025764279.1,2896189,2897155
NW_025764279.1,2948189,2950014
NW_025764279.1,3080909,3081486
NW_025764289.1,25092,26254
NW_025764289.1,396451,397625
NW_025764289.1,470302,470986
NW_025764289.1,1061133,1061470
NW_007360326.1,300114,302987
NW_007360326.1,333435,334449
NW_007360326.1,347794,348159
NW_007360326.1,588487,590258
NW_007360326.1,746609,747494
NW_007360326.1,1471543,1473225
NW_007360326.1,1520188,1523981
NW_007360326.1,1550978,1552954
NW_007360326.1,1751468,1755314
NW_007360326.1,2238777,2239017
NW_007360326.1,2585449,2586364
NW_007360345.1,13089,13653
NW_017264775.1,113904,115544
NW_017264775.1,137191,139137
NW_017264775.1,314263,317719
NW_025544816.1,110077,113472
NW_025544816.1,308468,311762
NW_025544816.1,473140,473980
NW_025544819.1,161609,162499
NW_025544819.1,252044,253824
NW_025544832.1,26740,27152
NW_025544785.1,174934,180568
NW_025544785.1,259031,259355
NW_025544785.1,346009,346098
NW_025544785.1,1088089,1088484
NW_025544785.1,1148835,1149021
NW_025544787.1,208470,210042
NW_025544787.1,660521,661107
NW_025544789.1,57343,58006
NW_004504311.1,366483,367234
NW_004504311.1,654636,656968
NW_004504311.1,1748756,1749552
NW_004504311.1,2085614,2086753
NW_004504311.1,2256116,2256320
NW_004504311.1,2359481,2360428
NW_004504311.1,2542662,2545044
NW_004504311.1,3279069,3282079
NW_004504311.1,3406481,3408234
NW_004504311.1,3474838,3475527
NW_004504311.1,3695026,3696751
NW_004504311.1,3795762,3797259
NW_025953045.1,330033,331458
NW_025953045.1,511715,513664
NW_025953045.1,607332,610134
NW_025953051.1,250201,252193
NW_025953051.1,527955,529270
NW_025953060.1,413462,414906
NW_025953063.1,151877,153621
NW_025953063.1,296790,297915
NW_025952976.1,25253,26494
NW_025952979.1,576592,577488
NW_025952984.1,388657,391101
NW_025952984.1,462281,463442
NW_025954199.1,106382,106848
NW_025954199.1,314673,317643
NW_025954199.1,510420,511767
NW_025954200.1,362286,363883
NW_025954200.1,505345,505588
NW_025954206.1,110678,112732
NW_025954206.1,214329,214908
NW_025954208.1,178878,179088
NW_025954208.1,181772,183221
NW_025954208.1,381894,385007
NW_025954220.1,143222,145003
NW_025954227.1,166701,167924
NW_025954256.1,181829,183826
NW_025954257.1,68430,73961
NW_025954292.1,85610,86537
NW_025954348.1,9383,12140
NW_025954966.1,747510,747854
NW_025954966.1,874879,876022
NW_025954968.1,24173,25300
NW_025954968.1,162195,163841
NW_025954990.1,4389,5747
NW_025955013.1,9071,11338
NW_025955013.1,90425,94261
NW_025955023.1,85694,87831
NW_025955051.1,70789,71862
NW_025955053.1,58739,59896
NW_025955199.1,12068,15727
NW_025955361.1,17777,18887
NW_026251478.1,179742,180702
NW_026251564.1,9811,10455
NW_026260096.1,295863,298249
NW_026261526.1,30737,31544
NW_024539239.1,72943,73507
NW_024539239.1,469536,470347
NW_024539240.1,164694,166426
NW_024539240.1,353186,354687
NW_024539249.1,92511,94280
NW_024539249.1,274544,277233
NW_024539249.1,410982,411830
NW_025064855.1,32641,33670
NW_025064855.1,295979,297188
NW_025064855.1,310867,311910
NW_025064855.1,527878,528155
NW_025064855.1,909605,910781
NW_025064855.1,1381969,1382958
NW_025064855.1,1692430,1694123
NW_025064855.1,1807648,1809869
NW_025064855.1,2100791,2103132
NW_025065050.1,81885,83643
NW_025065050.1,365684,366842
NW_025065062.1,64492,64564
NW_025065062.1,150570,151029
NW_025065062.1,213571,215176
NW_025091320.1,45250,46873
NW_025091320.1,512235,514519
NW_025091320.1,1024885,1029931
NW_025091320.1,1318081,1321435
NW_025091320.1,1400705,1404044
NW_025091320.1,1605924,1606663
NW_025091320.1,2189561,2191127
NW_025091335.1,39992,42083
NC_057326.1,82930,83724
NC_057326.1,213800,215771
NC_057326.1,612203,613549
NC_057326.1,1103759,1106057
NC_057326.1,1474434,1477336
NC_057326.1,1654560,1656681
NC_057326.1,1761253,1763861
NC_057326.1,2402938,2405618
NC_057326.1,2559253,2560966
NC_057326.1,3279015,3281855
NC_057326.1,3625698,3627384
NC_057326.1,4116566,4117085
NC_057326.1,4145574,4146875
NW_025064881.1,5422,5749
NW_025064881.1,43373,44810
NW_025064881.1,51504,51956
NW_025064881.1,375594,377561
NW_025064881.1,593378,594168
NW_025064881.1,909908,911927
NW_025064881.1,1326840,1328388
NW_025064881.1,1408458,1410513
NW_025064881.1,1968394,1969820
NW_025064881.1,2459804,2462095
NW_025064904.1,75038,75628
NW_025064904.1,79159,80104
NW_025064907.1,331862,332331
NW_025064907.1,337453,339392
NW_025064908.1,240081,241932
NW_025064921.1,175127,175839
NW_025064931.1,62461,63158
NW_025064931.1,251527,252145
NW_025091290.1,105975,106810
NW_025065162.1,169713,170220
NW_025065169.1,75795,81408
NW_025408591.1,107059,107593
NW_025408591.1,361200,362425
NW_025408591.1,592069,593500
NW_025408591.1,1135996,1136674
NW_025408591.1,1218146,1221508
NW_025408596.1,274894,279545
NW_025408596.1,304336,306232
NW_025408596.1,489994,491492
NW_025408596.1,627621,628691
NW_025408596.1,640266,643440
NW_025408596.1,1065027,1065948
NW_025408596.1,1752460,1755484
NW_025408596.1,1964850,1965773
NW_025408596.1,2568818,2572262
